id,left,top,right,bottom,a_elev_m,a_dem_m,a_celev_m,a_ss_m,a_crh100_m,a_crh095_m,a_crh090_m,a_crh085_m,a_crh080_m,a_crh075_m,a_crh070_m,a_crh065_m,a_crh060_m,a_crh055_m,a_crh050_m,a_crh045_m,a_crh040_m,a_crh035_m,a_crh030_m,a_crh025_m,a_crh020_m,a_crh015_m,a_crh010_m,a_crh005_m,a_crh000_m,a_mfrac_m,a_rv_m,a_cv_m,a_fhd_m,a_pai_m,a_gap_m,a_pavd01_m,a_pavd02_m,a_pavd03_m,a_pavd04_m,a_pavd05_m,a_pavd06_m,a_pavd07_m,a_rg_m,a_rxrtrn_m,b_elev_m,b_dem_m,b_celev_m,b_ss_m,b_crh100_m,b_crh095_m,b_crh090_m,b_crh085_m,b_crh080_m,b_crh075_m,b_crh070_m,b_crh065_m,b_crh060_m,b_crh055_m,b_crh050_m,b_crh045_m,b_crh040_m,b_crh035_m,b_crh030_m,b_crh025_m,b_crh020_m,b_crh015_m,b_crh010_m,b_crh005_m,b_crh000_m,b_mfrac_m,b_rv_m,b_cv_m,b_fhd_m,b_pai_m,b_gap_m,b_pavd01_m,b_pavd02_m,b_pavd03_m,b_pavd04_m,b_pavd05_m,b_pavd06_m,b_pavd07_m,b_rg_m,b_rxrtrn_m,gedi_both,a_gedi_num,b_gedi_num,isburnt,iscontrol
48,336684.336,441078.1276,337184.336,440578.1276,132.937372,130.808165,144.165819,27.601302,11.224,8.65,7.51,6.724,6.052,5.44,4.846,4.226,3.536,2.706,1.788,0.936,0.224,-0.41,-1.008,-1.64,-2.346,-3.168,-4.15,-5.398,-7.508,0.679526,2226.139014,0.196263,1.880225,0.465878,0.803538,0.017444,0.034859,0.037648,0.011702,0.000191,0,0,6467.95752,422551.9282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,0,0
49,336684.336,440578.1276,337184.336,440078.1276,134.542261,135.728926,149.617617,27.605439,15.071765,12.226471,10.781176,9.638823,8.681765,7.768235,6.891176,6.116471,5.397059,4.71,4.017059,3.351176,2.670588,1.925294,1.137647,0.347647,-0.463529,-1.368824,-2.370588,-3.6,-5.722941,0.324169,3917.631864,0.377641,2.441843,1.115077,0.622294,0.042626,0.069392,0.081011,0.04087,0.009156,0.001218,0,4946.484432,422738.8211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,0,0
50,336684.336,440078.1276,337184.336,439578.1276,142.699327,141.943203,157.687191,27.609189,14.983077,12.267692,10.994615,10.019231,9.160769,8.327692,7.462308,6.484615,5.514615,4.623077,3.906923,3.251538,2.590769,1.925385,1.267692,0.621538,-0.075385,-0.884615,-1.91,-3.423846,-6.643077,0.302734,5086.149592,0.485255,2.520927,1.627676,0.514231,0.124849,0.133096,0.09253,0.027241,0.007719,0.002337,0,3673.409283,423593.9168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,0,0
51,336684.336,439578.1276,337184.336,439078.1276,198.28183,196.730042,209.649666,27.615579,11.365,9.81,8.875,8.18,7.6,6.995,6.36,5.765,5.165,4.565,3.945,3.385,2.805,2.205,1.545,0.86,0.095,-0.725,-1.665,-2.785,-4.565,0.520006,2322.924805,0.509243,2.325386,1.469192,0.49066,0.125793,0.135702,0.084023,0.011218,0,0,0,1221.9776,424042.2078,182.281311,182.989639,199.140745,27.612733,16.855,14.68,13.38,12.37375,11.535,10.82375,10.17625,9.55,8.905,8.2575,7.60375,6.94,6.26125,5.53875,4.78625,3.89125,2.83875,1.57625,0.185,-1.58875,-4.125,0.362564,3148.940208,0.671049,2.60413,2.797952,0.328705,0.181439,0.196262,0.160295,0.071183,0.026201,0.01235,0.00258,1099.076866,412045.2069,1,2,8,0,0
52,336684.336,439078.1276,337184.336,438578.1276,133.58001,136.702288,151.253313,27.614726,17.667778,15.067778,13.817778,12.864444,12.052222,11.285556,10.505556,9.73,8.972222,8.234444,7.506667,6.772222,6.041111,5.286667,4.482222,3.645556,2.664445,1.384444,-0.007778,-1.77,-5.035555,0.462446,5367.782308,0.606069,2.576967,2.591212,0.392293,0.172508,0.165937,0.126461,0.080747,0.045788,0.012229,0.00041,2272.341248,422606.1501,116.569298,118.392693,135.97345,27.607708,19.4,17.15,15.95,14.72,13.52,12.28,11.08,9.92,8.61,6.55,3.1,1.83,1.16,0.71,0.33,0,-0.33,-0.71,-1.16,-1.94,-4.08,0.325376,2687.077148,0.451041,2.891049,1.199625,0.548794,0.044044,0.053121,0.073445,0.066842,0.024496,0,0,2178.828369,412108.0717,1,9,1,0,0
53,336684.336,438578.1276,337184.336,438078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.122017,114.062901,143.849045,27.620637,26.725,24.06,22.45,21.065,19.85,18.63,17.49,16.38,15.3,14.305,13.425,12.615,11.735,10.805,9.83,8.72,7.315,5.595,2.9,0.225,-3.5,0.259264,4890.751465,0.858077,3.108547,4.05707,0.141604,0.126072,0.193448,0.243872,0.172484,0.093025,0.039776,0.005774,535.197296,412101.2679,0,,2,0,0
54,336684.336,438078.1276,337184.336,437578.1276,149.178123,155.377045,167.483601,27.62239,18.3,15.6175,14.375,13.335,12.4775,11.655,10.8875,10.1475,9.375,8.5225,7.4175,6.66,6.005,5.3425,4.65,3.9325,3.1575,2.21,0.6775,-1.405,-4.99,0.737567,5125.681091,0.699923,2.588998,2.758255,0.298892,0.175951,0.196622,0.15525,0.070582,0.031719,0.008462,0.000722,908.414268,423341.0553,160.86231,167.802165,180.520014,27.622207,19.653333,17.05,15.756667,14.716667,13.828333,13.03,12.261667,11.52,10.731667,9.883333,9.001667,8.16,7.31,6.418333,5.583333,4.771667,3.855,2.761667,1.38,-0.573333,-3.385,0.899754,3816.268351,0.766833,2.755621,3.386077,0.232791,0.201907,0.233931,0.195232,0.094166,0.041233,0.010511,0.00119,788.901899,412107.6978,1,4,6,0,0
55,336684.336,437578.1276,337184.336,437078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.850351,224.094073,232.564417,27.616241,23.708,20.96,19.254,17.964,16.916,16.004,15.18,14.398,13.696,13.028,12.3,11.522,10.654,9.776,8.826,7.634,6.106,4.28,2.204,-0.104,-3.314,0.854291,4417.433789,0.848935,2.971276,3.820713,0.150648,0.156019,0.197495,0.237697,0.168862,0.062913,0.015715,0.003453,524.00174,412055.2215,0,,5,0,0
56,336684.336,437078.1276,337184.336,436578.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.678473,284.276152,304.195073,27.625281,20.511,17.333,15.419,14.131,13.165,12.295,11.416,10.6,9.819,9.075,8.36,7.594,6.8,5.97,5.072,4.138,3.108,1.901,0.429,-1.558,-4.271,0.755105,3230.456348,0.665818,2.771129,2.984259,0.333846,0.168493,0.188844,0.171088,0.097321,0.041542,0.012261,0.001549,1277.204526,411988.0581,0,,10,0,0
57,336684.336,436578.1276,337184.336,436078.1276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.09259,214.717484,222.20784,27.619455,27.110001,24.299999,22.879999,21.870001,21.01,20.110001,19.209999,18.120001,17.040001,15.95,14.83,13.78,12.77,11.72,10.63,9.28,7.75,5.8,3.55,1.19,-1.87,0.709652,4265.583496,0.914193,3.165092,4.919611,0.085346,0.254514,0.250183,0.238301,0.186094,0.119599,0.055684,0.006804,265.345123,412069.6839,0,,1,0,0
